"R2.Nnrg.Hazel.Niko_S.3359145578.3359146585","Nnrg.Hazel","Niko_S.3359145578","60"
"R2.Apple-Rt.Niko_S.3359145578.3359146585","Apple-Rt","Niko_S.3359145578","90"
"R2.The.Niko_S.3359145578.3359146585","The","Niko_S.3359145578","15"
"R2.Ggp_Remote_Agent.Niko_S.3359145578.3359146585","Ggp_Remote_Agent","Niko_S.3359145578","0"
"R2.Entropy.Niko_S.3359145578.3359146585","Entropy","Niko_S.3359145578","0"
"R2.Cluneplayer.Ziggy_S.3359145644.3359146585","Cluneplayer","Ziggy_S.3359145644","90"
"R2.Fluxplayer.Ziggy_S.3359145644.3359146585","Fluxplayer","Ziggy_S.3359145644","80"
"R2.Luckylemming.Ziggy_S.3359145644.3359146585","Luckylemming","Ziggy_S.3359145644","70"
"R2.Pires5600.Ziggy_S.3359145644.3359146585","Pires5600","Ziggy_S.3359145644","70"
"R2.Ogre.Ziggy_S.3359145644.3359146585","Ogre","Ziggy_S.3359145644","60"
"R2.Nnrg.Hazel.Ziggy_S.3359145644.3359146585","Nnrg.Hazel","Ziggy_S.3359145644","70"
"R2.Apple-Rt.Ziggy_S.3359145644.3359146585","Apple-Rt","Ziggy_S.3359145644","70"
"R2.The.Ziggy_S.3359145644.3359146585","The","Ziggy_S.3359145644","0"
"R2.Entropy.Ziggy_S.3359145644.3359146585","Entropy","Ziggy_S.3359145644","0"
"R2.Pumaman800.Ziggy_S.3359145644.3359146585","Pumaman800","Ziggy_S.3359145644","40"
"R2.Cluneplayer.Sobotka_S.3359145294.3359146585","Cluneplayer","Sobotka_S.3359145294","65"
"R2.Fluxplayer.Sobotka_S.3359145294.3359146585","Fluxplayer","Sobotka_S.3359145294","65"
"R2.Luckylemming.Sobotka_S.3359145294.3359146585","Luckylemming","Sobotka_S.3359145294","65"
"R2.Pires5600.Sobotka_S.3359145294.3359146585","Pires5600","Sobotka_S.3359145294","65"
